title,ingredients,directions
Chicken Alfredo Variant 2,Chicken breast (200 g); Pasta (200 g); Cream (150 ml); Parmesan (50 g grated); Garlic (1 clove minced),"Cook pasta and chicken, prepare creamy Alfredo sauce, combine and serve."
Chili Con Carne Variant 2,Ground beef (300 g); Kidney beans (1 can); Diced tomatoes (400 g); Chili powder (1 tbsp); Onion (1 chopped),"Cook beef, add beans, tomatoes, spices, and simmer until thick."
Shrimp Pasta Variant 2,Shrimp (200 g); Pasta (200 g); Garlic (2 cloves minced); Butter (1 tbsp); Parsley (1 tbsp chopped),"Cook pasta, sauté shrimp with garlic and butter, combine and serve."
Lasagna Variant 2,Lasagna sheets (6); Ground beef (250 g); Tomato sauce (400 ml); Ricotta (200 g); Mozzarella (150 g grated),"Layer meat sauce, ricotta, mozzarella, and pasta sheets; bake until bubbly."
Teriyaki Chicken Bowl Variant 2,Chicken thighs (250 g); Teriyaki sauce (3 tbsp); Rice (1 cup); Broccoli (1 cup florets); Sesame seeds (1 tsp),"Cook chicken with teriyaki sauce, steam broccoli, and serve over rice with sesame seeds."
Lemon Garlic Chicken Variant 2,Chicken breast (250 g); Lemon juice (2 tbsp); Garlic (3 cloves minced); Olive oil (1 tbsp); Thyme (1 tsp),"Marinate chicken in lemon, garlic, and thyme, then bake until cooked through."
Stuffed Peppers Variant 2,Bell peppers (3); Ground beef (200 g); Rice (1 cup cooked); Tomato sauce (200 ml); Cheese (50 g grated),"Stuff peppers with beef, rice, and sauce, top with cheese, and bake until tender."
Baked Ziti Variant 2,Ziti pasta (200 g); Tomato sauce (300 ml); Mozzarella (100 g grated); Ricotta (100 g); Parmesan (30 g grated),"Mix cooked ziti with sauces and cheeses, then bake until golden."
Turkey Meatballs with Pasta Variant 2,Ground turkey (250 g); Breadcrumbs (50 g); Egg (1); Pasta (200 g); Tomato sauce (300 ml),"Form meatballs, bake or fry, then serve with pasta and tomato sauce."
BBQ Chicken Drumsticks Variant 2,Chicken drumsticks (4); BBQ sauce (4 tbsp); Paprika (1 tsp); Garlic powder (1 tsp),"Season drumsticks, coat with BBQ sauce, and bake until cooked and caramelized."
Tuna Casserole Variant 2,Pasta (200 g); Canned tuna (1 can); Peas (0.5 cup); Cream of mushroom soup (200 ml); Cheese (50 g grated),"Mix ingredients, place in baking dish, top with cheese, and bake until bubbly."
Sausage and Peppers Variant 2,Italian sausage (250 g); Bell peppers (2 sliced); Onion (1 sliced); Olive oil (1 tbsp),"Cook sausage, then sauté peppers and onions together until soft; serve with bread or pasta."
Pesto Pasta Variant 2,Pasta (200 g); Basil pesto (3 tbsp); Cherry tomatoes (0.5 cup halved); Parmesan (30 g grated),"Toss cooked pasta with pesto and tomatoes, then sprinkle with parmesan."
Chicken Fajitas Variant 2,Chicken breast (250 g); Bell peppers (2 sliced); Onion (1 sliced); Fajita seasoning (1 tbsp); Tortillas (4),"Cook chicken with seasoning, sauté peppers and onions, and serve in warm tortillas."
Spaghetti Bolognese Variant 3,Spaghetti (200 g); Ground beef (250 g); Onion (1 chopped); Garlic (2 cloves minced); Tomato sauce (400 ml); Olive oil (1 tbsp); Salt (0.5 tsp); Pepper (0.25 tsp),"Boil spaghetti, sauté onion and garlic, brown beef, add tomato sauce and seasonings, simmer, and serve over spaghetti."
Chicken Stir Fry Variant 3,Chicken breast (250 g); Bell pepper (1 sliced); Broccoli (1 cup florets); Soy sauce (2 tbsp); Garlic (2 cloves minced); Ginger (1 tsp grated),"Stir-fry chicken, add vegetables, soy sauce, garlic, and ginger. Cook until tender and serve with rice."
Beef Tacos Variant 3,Ground beef (250 g); Taco seasoning (1 tbsp); Tortillas (4); Lettuce (0.5 cup shredded); Cheese (0.5 cup grated); Salsa (3 tbsp),"Cook beef with seasoning, warm tortillas, and assemble with lettuce, cheese, and salsa."
Vegetable Curry Variant 3,Potatoes (2 diced); Carrots (2 sliced); Cauliflower (1 cup florets); Curry paste (2 tbsp); Coconut milk (400 ml),Cook vegetables with curry paste and coconut milk; simmer until thick and serve with rice.
Salmon with Rice Variant 3,Salmon fillet (200 g); Rice (1 cup); Lemon juice (1 tbsp); Olive oil (1 tbsp); Salt (0.25 tsp),Season salmon and bake until done; cook rice and serve together.
Beef Stew Variant 3,Beef chunks (300 g); Carrots (2 chopped); Potatoes (2 diced); Onion (1 chopped); Beef broth (500 ml),"Brown beef, add vegetables and broth, simmer 1–2 hours until tender."
Chicken Alfredo Variant 3,Chicken breast (200 g); Pasta (200 g); Cream (150 ml); Parmesan (50 g grated); Garlic (1 clove minced),"Cook pasta and chicken, prepare creamy Alfredo sauce, combine and serve."
Chili Con Carne Variant 3,Ground beef (300 g); Kidney beans (1 can); Diced tomatoes (400 g); Chili powder (1 tbsp); Onion (1 chopped),"Cook beef, add beans, tomatoes, spices, and simmer until thick."
Shrimp Pasta Variant 3,Shrimp (200 g); Pasta (200 g); Garlic (2 cloves minced); Butter (1 tbsp); Parsley (1 tbsp chopped),"Cook pasta, sauté shrimp with garlic and butter, combine and serve."
Lasagna Variant 3,Lasagna sheets (6); Ground beef (250 g); Tomato sauce (400 ml); Ricotta (200 g); Mozzarella (150 g grated),"Layer meat sauce, ricotta, mozzarella, and pasta sheets; bake until bubbly."
Teriyaki Chicken Bowl Variant 3,Chicken thighs (250 g); Teriyaki sauce (3 tbsp); Rice (1 cup); Broccoli (1 cup florets); Sesame seeds (1 tsp),"Cook chicken with teriyaki sauce, steam broccoli, and serve over rice with sesame seeds."
Lemon Garlic Chicken Variant 3,Chicken breast (250 g); Lemon juice (2 tbsp); Garlic (3 cloves minced); Olive oil (1 tbsp); Thyme (1 tsp),"Marinate chicken in lemon, garlic, and thyme, then bake until cooked through."
Stuffed Peppers Variant 3,Bell peppers (3); Ground beef (200 g); Rice (1 cup cooked); Tomato sauce (200 ml); Cheese (50 g grated),"Stuff peppers with beef, rice, and sauce, top with cheese, and bake until tender."
Baked Ziti Variant 3,Ziti pasta (200 g); Tomato sauce (300 ml); Mozzarella (100 g grated); Ricotta (100 g); Parmesan (30 g grated),"Mix cooked ziti with sauces and cheeses, then bake until golden."
Turkey Meatballs with Pasta Variant 3,Ground turkey (250 g); Breadcrumbs (50 g); Egg (1); Pasta (200 g); Tomato sauce (300 ml),"Form meatballs, bake or fry, then serve with pasta and tomato sauce."
BBQ Chicken Drumsticks Variant 3,Chicken drumsticks (4); BBQ sauce (4 tbsp); Paprika (1 tsp); Garlic powder (1 tsp),"Season drumsticks, coat with BBQ sauce, and bake until cooked and caramelized."
Tuna Casserole Variant 3,Pasta (200 g); Canned tuna (1 can); Peas (0.5 cup); Cream of mushroom soup (200 ml); Cheese (50 g grated),"Mix ingredients, place in baking dish, top with cheese, and bake until bubbly."
Sausage and Peppers Variant 3,Italian sausage (250 g); Bell peppers (2 sliced); Onion (1 sliced); Olive oil (1 tbsp),"Cook sausage, then sauté peppers and onions together until soft; serve with bread or pasta."
Pesto Pasta Variant 3,Pasta (200 g); Basil pesto (3 tbsp); Cherry tomatoes (0.5 cup halved); Parmesan (30 g grated),"Toss cooked pasta with pesto and tomatoes, then sprinkle with parmesan."
Chicken Fajitas Variant 3,Chicken breast (250 g); Bell peppers (2 sliced); Onion (1 sliced); Fajita seasoning (1 tbsp); Tortillas (4),"Cook chicken with seasoning, sauté peppers and onions, and serve in warm tortillas."
Spaghetti Bolognese Variant 4,Spaghetti (200 g); Ground beef (250 g); Onion (1 chopped); Garlic (2 cloves minced); Tomato sauce (400 ml); Olive oil (1 tbsp); Salt (0.5 tsp); Pepper (0.25 tsp),"Boil spaghetti, sauté onion and garlic, brown beef, add tomato sauce and seasonings, simmer, and serve over spaghetti."
Chicken Stir Fry Variant 4,Chicken breast (250 g); Bell pepper (1 sliced); Broccoli (1 cup florets); Soy sauce (2 tbsp); Garlic (2 cloves minced); Ginger (1 tsp grated),"Stir-fry chicken, add vegetables, soy sauce, garlic, and ginger. Cook until tender and serve with rice."
Beef Tacos Variant 4,Ground beef (250 g); Taco seasoning (1 tbsp); Tortillas (4); Lettuce (0.5 cup shredded); Cheese (0.5 cup grated); Salsa (3 tbsp),"Cook beef with seasoning, warm tortillas, and assemble with lettuce, cheese, and salsa."
Vegetable Curry Variant 4,Potatoes (2 diced); Carrots (2 sliced); Cauliflower (1 cup florets); Curry paste (2 tbsp); Coconut milk (400 ml),Cook vegetables with curry paste and coconut milk; simmer until thick and serve with rice.
Salmon with Rice Variant 4,Salmon fillet (200 g); Rice (1 cup); Lemon juice (1 tbsp); Olive oil (1 tbsp); Salt (0.25 tsp),Season salmon and bake until done; cook rice and serve together.
Beef Stew Variant 4,Beef chunks (300 g); Carrots (2 chopped); Potatoes (2 diced); Onion (1 chopped); Beef broth (500 ml),"Brown beef, add vegetables and broth, simmer 1–2 hours until tender."
Chicken Alfredo Variant 4,Chicken breast (200 g); Pasta (200 g); Cream (150 ml); Parmesan (50 g grated); Garlic (1 clove minced),"Cook pasta and chicken, prepare creamy Alfredo sauce, combine and serve."
Chili Con Carne Variant 4,Ground beef (300 g); Kidney beans (1 can); Diced tomatoes (400 g); Chili powder (1 tbsp); Onion (1 chopped),"Cook beef, add beans, tomatoes, spices, and simmer until thick."
Shrimp Pasta Variant 4,Shrimp (200 g); Pasta (200 g); Garlic (2 cloves minced); Butter (1 tbsp); Parsley (1 tbsp chopped),"Cook pasta, sauté shrimp with garlic and butter, combine and serve."
Lasagna Variant 4,Lasagna sheets (6); Ground beef (250 g); Tomato sauce (400 ml); Ricotta (200 g); Mozzarella (150 g grated),"Layer meat sauce, ricotta, mozzarella, and pasta sheets; bake until bubbly."
Teriyaki Chicken Bowl Variant 4,Chicken thighs (250 g); Teriyaki sauce (3 tbsp); Rice (1 cup); Broccoli (1 cup florets); Sesame seeds (1 tsp),"Cook chicken with teriyaki sauce, steam broccoli, and serve over rice with sesame seeds."
Lemon Garlic Chicken Variant 4,Chicken breast (250 g); Lemon juice (2 tbsp); Garlic (3 cloves minced); Olive oil (1 tbsp); Thyme (1 tsp),"Marinate chicken in lemon, garlic, and thyme, then bake until cooked through."
Stuffed Peppers Variant 4,Bell peppers (3); Ground beef (200 g); Rice (1 cup cooked); Tomato sauce (200 ml); Cheese (50 g grated),"Stuff peppers with beef, rice, and sauce, top with cheese, and bake until tender."
Baked Ziti Variant 4,Ziti pasta (200 g); Tomato sauce (300 ml); Mozzarella (100 g grated); Ricotta (100 g); Parmesan (30 g grated),"Mix cooked ziti with sauces and cheeses, then bake until golden."
Turkey Meatballs with Pasta Variant 4,Ground turkey (250 g); Breadcrumbs (50 g); Egg (1); Pasta (200 g); Tomato sauce (300 ml),"Form meatballs, bake or fry, then serve with pasta and tomato sauce."
BBQ Chicken Drumsticks Variant 4,Chicken drumsticks (4); BBQ sauce (4 tbsp); Paprika (1 tsp); Garlic powder (1 tsp),"Season drumsticks, coat with BBQ sauce, and bake until cooked and caramelized."
Tuna Casserole Variant 4,Pasta (200 g); Canned tuna (1 can); Peas (0.5 cup); Cream of mushroom soup (200 ml); Cheese (50 g grated),"Mix ingredients, place in baking dish, top with cheese, and bake until bubbly."
Sausage and Peppers Variant 4,Italian sausage (250 g); Bell peppers (2 sliced); Onion (1 sliced); Olive oil (1 tbsp),"Cook sausage, then sauté peppers and onions together until soft; serve with bread or pasta."
Pesto Pasta Variant 4,Pasta (200 g); Basil pesto (3 tbsp); Cherry tomatoes (0.5 cup halved); Parmesan (30 g grated),"Toss cooked pasta with pesto and tomatoes, then sprinkle with parmesan."
Chicken Fajitas Variant 4,Chicken breast (250 g); Bell peppers (2 sliced); Onion (1 sliced); Fajita seasoning (1 tbsp); Tortillas (4),"Cook chicken with seasoning, sauté peppers and onions, and serve in warm tortillas."
Spaghetti Bolognese Variant 5,Spaghetti (200 g); Ground beef (250 g); Onion (1 chopped); Garlic (2 cloves minced); Tomato sauce (400 ml); Olive oil (1 tbsp); Salt (0.5 tsp); Pepper (0.25 tsp),"Boil spaghetti, sauté onion and garlic, brown beef, add tomato sauce and seasonings, simmer, and serve over spaghetti."
Chicken Stir Fry Variant 5,Chicken breast (250 g); Bell pepper (1 sliced); Broccoli (1 cup florets); Soy sauce (2 tbsp); Garlic (2 cloves minced); Ginger (1 tsp grated),"Stir-fry chicken, add vegetables, soy sauce, garlic, and ginger. Cook until tender and serve with rice."
Beef Tacos Variant 5,Ground beef (250 g); Taco seasoning (1 tbsp); Tortillas (4); Lettuce (0.5 cup shredded); Cheese (0.5 cup grated); Salsa (3 tbsp),"Cook beef with seasoning, warm tortillas, and assemble with lettuce, cheese, and salsa."
Vegetable Curry Variant 5,Potatoes (2 diced); Carrots (2 sliced); Cauliflower (1 cup florets); Curry paste (2 tbsp); Coconut milk (400 ml),Cook vegetables with curry paste and coconut milk; simmer until thick and serve with rice.
Salmon with Rice Variant 5,Salmon fillet (200 g); Rice (1 cup); Lemon juice (1 tbsp); Olive oil (1 tbsp); Salt (0.25 tsp),Season salmon and bake until done; cook rice and serve together.
Beef Stew Variant 5,Beef chunks (300 g); Carrots (2 chopped); Potatoes (2 diced); Onion (1 chopped); Beef broth (500 ml),"Brown beef, add vegetables and broth, simmer 1–2 hours until tender."
Chicken Alfredo Variant 5,Chicken breast (200 g); Pasta (200 g); Cream (150 ml); Parmesan (50 g grated); Garlic (1 clove minced),"Cook pasta and chicken, prepare creamy Alfredo sauce, combine and serve."
Chili Con Carne Variant 5,Ground beef (300 g); Kidney beans (1 can); Diced tomatoes (400 g); Chili powder (1 tbsp); Onion (1 chopped),"Cook beef, add beans, tomatoes, spices, and simmer until thick."
Shrimp Pasta Variant 5,Shrimp (200 g); Pasta (200 g); Garlic (2 cloves minced); Butter (1 tbsp); Parsley (1 tbsp chopped),"Cook pasta, sauté shrimp with garlic and butter, combine and serve."
Lasagna Variant 5,Lasagna sheets (6); Ground beef (250 g); Tomato sauce (400 ml); Ricotta (200 g); Mozzarella (150 g grated),"Layer meat sauce, ricotta, mozzarella, and pasta sheets; bake until bubbly."
Teriyaki Chicken Bowl Variant 5,Chicken thighs (250 g); Teriyaki sauce (3 tbsp); Rice (1 cup); Broccoli (1 cup florets); Sesame seeds (1 tsp),"Cook chicken with teriyaki sauce, steam broccoli, and serve over rice with sesame seeds."
Lemon Garlic Chicken Variant 5,Chicken breast (250 g); Lemon juice (2 tbsp); Garlic (3 cloves minced); Olive oil (1 tbsp); Thyme (1 tsp),"Marinate chicken in lemon, garlic, and thyme, then bake until cooked through."
Stuffed Peppers Variant 5,Bell peppers (3); Ground beef (200 g); Rice (1 cup cooked); Tomato sauce (200 ml); Cheese (50 g grated),"Stuff peppers with beef, rice, and sauce, top with cheese, and bake until tender."
Baked Ziti Variant 5,Ziti pasta (200 g); Tomato sauce (300 ml); Mozzarella (100 g grated); Ricotta (100 g); Parmesan (30 g grated),"Mix cooked ziti with sauces and cheeses, then bake until golden."
Turkey Meatballs with Pasta Variant 5,Ground turkey (250 g); Breadcrumbs (50 g); Egg (1); Pasta (200 g); Tomato sauce (300 ml),"Form meatballs, bake or fry, then serve with pasta and tomato sauce."
BBQ Chicken Drumsticks Variant 5,Chicken drumsticks (4); BBQ sauce (4 tbsp); Paprika (1 tsp); Garlic powder (1 tsp),"Season drumsticks, coat with BBQ sauce, and bake until cooked and caramelized."
Tuna Casserole Variant 5,Pasta (200 g); Canned tuna (1 can); Peas (0.5 cup); Cream of mushroom soup (200 ml); Cheese (50 g grated),"Mix ingredients, place in baking dish, top with cheese, and bake until bubbly."
Sausage and Peppers Variant 5,Italian sausage (250 g); Bell peppers (2 sliced); Onion (1 sliced); Olive oil (1 tbsp),"Cook sausage, then sauté peppers and onions together until soft; serve with bread or pasta."
Pesto Pasta Variant 5,Pasta (200 g); Basil pesto (3 tbsp); Cherry tomatoes (0.5 cup halved); Parmesan (30 g grated),"Toss cooked pasta with pesto and tomatoes, then sprinkle with parmesan."
Chicken Fajitas Variant 5,Chicken breast (250 g); Bell peppers (2 sliced); Onion (1 sliced); Fajita seasoning (1 tbsp); Tortillas (4),"Cook chicken with seasoning, sauté peppers and onions, and serve in warm tortillas."
